peak_number,time,height,start_time,end_time,snr,baseline
1,1.396659,0.15959679999999998,1.391659,1.399993,17.731748664983662,0.2343612
2,1.443326,25.371344200000003,1.438326,1.446659,2818.8428505282754,2.9246128
3,1.529993,198976.6232433,1.521659,1.533326,22106981.302615985,24746.5442337
4,1.591659,0.6374658500000017,1.589993,1.593326,70.82462953336287,8.057709149999999
5,1.734993,0.8822667000000002,1.729993,1.738326,98.02283867774634,1.4858493
6,1.928326,0.58408335,1.923326,1.933326,64.89365176245192,0.42909664999999997
7,2.029993,0.6346015,2.024993,2.034993,70.50639048164895,0.28656149999999997
8,2.109993,1.5284349,2.103326,2.113326,169.8143289689357,0.3208051
9,7.661659,0.58186695,7.653326,7.669993,64.64740216508487,0.28465805
10,7.999993,3.2687528,7.991659,8.004993,363.1695817056584,0.5677962000000001
11,8.668326,0.11023814999999998,8.659993,8.673326,12.247834349390267,0.31291385
12,8.798326,0.26467945000000004,8.791659,8.804993,29.40678938541444,0.35652854999999994
13,8.859993,0.23346859999999997,8.853326,8.868326,25.93915752925876,0.44454540000000003
14,8.931659,1.7252348999999998,8.924993,8.938326,191.67948000748274,0.6979030999999999
15,9.011659,0.11321729999999997,8.991659,9.019993,12.57882807254315,0.48031370000000007
16,9.101659,0.3246726999999999,9.093326,9.113326,36.072244022321506,0.5950873000000001
17,9.176659,0.23869885000000002,9.169993,9.183326,26.520256138096983,0.57104815
18,9.271659,3719.1790159499997,9.251659,9.276659,413213.47013791424,749.79508005
19,9.404993,267.9530417,9.394993,9.409993,29770.49658540953,57.5787243
20,9.446659,0.7570655000000002,9.439993,9.451659,84.11255845311557,1.5145625
21,9.479993,10.979596950000001,9.471659,9.486659,1219.8706588115879,2.8740320499999994
22,9.676659,0.5658427000000001,9.668326,9.683326,62.867053351419045,0.7401542999999999
